name,wikipedia link
Charles de Gaulle,https://en.wikipedia.org/wiki/Charles_de_Gaulle
Georges Pompidou,https://en.wikipedia.org/wiki/Georges_Pompidou
Valéry Giscard d'Estaing,https://en.wikipedia.org/wiki/Valéry_Giscard_d'Estaing
François Mitterrand,https://en.wikipedia.org/wiki/François_Mitterrand
Jacques Chirac,https://en.wikipedia.org/wiki/Jacques_Chirac
Nicolas Sarkozy,https://en.wikipedia.org/wiki/Nicolas_Sarkozy
François Hollande,https://en.wikipedia.org/wiki/François_Hollande
Emmanuel Macron,https://en.wikipedia.org/wiki/Emmanuel_Macron
Michel Debré,https://en.wikipedia.org/wiki/Michel_Debré
Jacques Chaban-Delmas,https://en.wikipedia.org/wiki/Jacques_Chaban-Delmas
Pierre Messmer,https://en.wikipedia.org/wiki/Pierre_Messmer
Raymond Barre,https://en.wikipedia.org/wiki/Raymond_Barre
Pierre Mauroy,https://en.wikipedia.org/wiki/Pierre_Mauroy
Laurent Fabius,https://en.wikipedia.org/wiki/Laurent_Fabius
Michel Rocard,https://en.wikipedia.org/wiki/Michel_Rocard
Édith Cresson,https://en.wikipedia.org/wiki/Édith_Cresson
Pierre Bérégovoy,https://en.wikipedia.org/wiki/Pierre_Bérégovoy
Édouard Balladur,https://en.wikipedia.org/wiki/Édouard_Balladur
Alain Juppé,https://en.wikipedia.org/wiki/Alain_Juppé
Lionel Jospin,https://en.wikipedia.org/wiki/Lionel_Jospin
Jean-Pierre Raffarin,https://en.wikipedia.org/wiki/Jean-Pierre_Raffarin
Dominique de Villepin,https://en.wikipedia.org/wiki/Dominique_de_Villepin
François Fillon,https://en.wikipedia.org/wiki/François_Fillon
Jean-Marc Ayrault,https://en.wikipedia.org/wiki/Jean-Marc_Ayrault
Manuel Valls,https://en.wikipedia.org/wiki/Manuel_Valls
Bernard Cazeneuve,https://en.wikipedia.org/wiki/Bernard_Cazeneuve
Édouard Philippe,https://en.wikipedia.org/wiki/Édouard_Philippe
Jean Castex,https://en.wikipedia.org/wiki/Jean_Castex
Élisabeth Borne,https://en.wikipedia.org/wiki/Élisabeth_Borne
Gabriel Attal,https://en.wikipedia.org/wiki/Gabriel_Attal
Michel Barnier,https://en.wikipedia.org/wiki/Michel_Barnier
Simone Veil,https://en.wikipedia.org/wiki/Simone_Veil
Jacques Delors,https://en.wikipedia.org/wiki/Jacques_Delors
Jean-Pierre Chevènement,https://en.wikipedia.org/wiki/Jean-Pierre_Chevènement
Dominique Strauss-Kahn,https://en.wikipedia.org/wiki/Dominique_Strauss-Kahn
François Bayrou,https://en.wikipedia.org/wiki/François_Bayrou
Ségolène Royal,https://en.wikipedia.org/wiki/Ségolène_Royal
Jean François Copé,https://en.wikipedia.org/wiki/Jean_François_Copé
Najat Vallaud-Belkacem,https://en.wikipedia.org/wiki/Najat_Vallaud-Belkacem
Christiane Taubira,https://en.wikipedia.org/wiki/Christiane_Taubira
Olivier Véran,https://en.wikipedia.org/wiki/Olivier_Véran
Gérald Darmanin,https://en.wikipedia.org/wiki/Gérald_Darmanin
Marlène Schiappa,https://en.wikipedia.org/wiki/Marlène_Schiappa
Éric Dupond-Moretti,https://en.wikipedia.org/wiki/Éric_Dupond-Moretti
Bruno Le Maire,https://en.wikipedia.org/wiki/Bruno_Le_Maire
Roselyne Bachelot,https://en.wikipedia.org/wiki/Roselyne_Bachelot
Rachida Dati,https://en.wikipedia.org/wiki/Rachida_Dati
Amélie Oudéa-Castéra,https://en.wikipedia.org/wiki/Amélie_Oudéa-Castéra
Myriam El Khomri,https://en.wikipedia.org/wiki/Myriam_El_Khomri
Aurore Bergé,https://en.wikipedia.org/wiki/Aurore_Bergé
Jean-Luc Mélenchon,https://en.wikipedia.org/wiki/Jean-Luc_Mélenchon
Marine Le Pen,https://en.wikipedia.org/wiki/Marine_Le_Pen
Nicolas Dupont-Aignan,https://en.wikipedia.org/wiki/Nicolas_Dupont-Aignan
Florian Philippot,https://en.wikipedia.org/wiki/Florian_Philippot
Yannick Jadot,https://en.wikipedia.org/wiki/Yannick_Jadot
Stanislas Guerini,https://en.wikipedia.org/wiki/Stanislas_Guerini
Jordan Bardella,https://en.wikipedia.org/wiki/Jordan_Bardella
Fabien Roussel,https://en.wikipedia.org/wiki/Fabien_Roussel
Laurent Wauquiez,https://en.wikipedia.org/wiki/Laurent_Wauquiez
Eric Ciotti,https://en.wikipedia.org/wiki/Eric_Ciotti
Eric Zemmour,https://en.wikipedia.org/wiki/Eric_Zemmour
Louis Boyard,https://en.wikipedia.org/wiki/Louis_Boyard
Sandrine Rousseau,https://en.wikipedia.org/wiki/Sandrine_Rousseau
Mathilde Panot,https://en.wikipedia.org/wiki/Mathilde_Panot
Yaël Braun-Pivet,https://en.wikipedia.org/wiki/Yaël_Braun-Pivet
Clémence Guetté,https://en.wikipedia.org/wiki/Clémence_Guetté
Olivier Faure,https://en.wikipedia.org/wiki/Olivier_Faure
Manon Aubry,https://en.wikipedia.org/wiki/Manon_Aubry
Clémentine Autain,https://en.wikipedia.org/wiki/Clémentine_Autain
François Ruffin,https://en.wikipedia.org/wiki/François_Ruffin
Alexis Corbière,https://en.wikipedia.org/wiki/Alexis_Corbière
Marion Maréchal Le Pen,https://en.wikipedia.org/wiki/Marion_Maréchal_Le_Pen
